attr,accuracy
+Area,0.5
-Area,0.9111111111111111
+Area,0.6777777777777778
-Area,0.7222222222222222
+Area,0.9
-Area,0.9111111111111111
+Area,0.9
-Area,0.7666666666666667
+Area,0.5
-Area,0.9111111111111111
+Area,0.6777777777777778
-Area,0.8333333333333334
+Area,0.9
-Area,0.9111111111111111
+Area,0.9
-Area,0.5
+Area,0.5
-Area,0.7333333333333333
+Area,0.8
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.5
+Area,0.5
-Area,0.7333333333333333
+Area,0.8
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.4888888888888889
+Area,0.5
-Area,0.9111111111111111
+Area,0.6777777777777778
-Area,0.7333333333333333
+Area,0.9
-Area,0.9111111111111111
+Area,0.9
-Area,0.7777777777777778
+Area,0.5
-Area,0.9111111111111111
+Area,0.6777777777777778
-Area,0.8333333333333334
+Area,0.9
-Area,0.9111111111111111
+Area,0.9
-Area,0.5
+Area,0.5
-Area,0.7333333333333333
+Area,0.8
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.5
+Area,0.5
-Area,0.7333333333333333
+Area,0.8
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.9222222222222223
+Area,0.9111111111111111
-Area,0.8888888888888888
+Area,0.7888888888888889
-Area,0.9111111111111111
+Area,0.8222222222222222
-Area,0.9111111111111111
+Area,0.9
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.8888888888888888
+Area,0.7888888888888889
-Area,0.9111111111111111
+Area,0.8222222222222222
-Area,0.9111111111111111
+Area,0.9
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.7888888888888889
+Area,0.8888888888888888
-Area,0.8333333333333334
+Area,0.9
-Area,0.9222222222222223
+Area,0.9222222222222223
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.7888888888888889
+Area,0.8888888888888888
-Area,0.8333333333333334
+Area,0.9
-Area,0.9222222222222223
+Area,0.9222222222222223
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.8888888888888888
+Area,0.7888888888888889
-Area,0.9
+Area,0.8222222222222222
-Area,0.9111111111111111
+Area,0.9
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.8888888888888888
+Area,0.7888888888888889
-Area,0.9
+Area,0.8222222222222222
-Area,0.9111111111111111
+Area,0.9
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.7888888888888889
+Area,0.8888888888888888
-Area,0.8333333333333334
+Area,0.9
-Area,0.9222222222222223
+Area,0.9222222222222223
-Area,0.9111111111111111
+Area,0.9111111111111111
-Area,0.7888888888888889
+Area,0.8888888888888888
-Area,0.8333333333333334
+Area,0.9
-Area,0.9222222222222223
+Area,0.9222222222222223
-Area,0.9111111111111111
+Area,0.9111111111111111
-MajorAxisLength,0.5
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.6777777777777778
-MajorAxisLength,0.7222222222222222
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9
-MajorAxisLength,0.7666666666666667
-MajorAxisLength,0.5
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.6777777777777778
-MajorAxisLength,0.8333333333333334
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9
-MajorAxisLength,0.5
-MajorAxisLength,0.5
+MajorAxisLength,0.7333333333333333
+MajorAxisLength,0.8
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.5
-MajorAxisLength,0.5
+MajorAxisLength,0.7333333333333333
+MajorAxisLength,0.8
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.4888888888888889
-MajorAxisLength,0.5
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.6777777777777778
-MajorAxisLength,0.7333333333333333
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9
-MajorAxisLength,0.7777777777777778
-MajorAxisLength,0.5
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.6777777777777778
-MajorAxisLength,0.8333333333333334
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9
-MajorAxisLength,0.5
-MajorAxisLength,0.5
+MajorAxisLength,0.7333333333333333
+MajorAxisLength,0.8
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.5
-MajorAxisLength,0.5
+MajorAxisLength,0.7333333333333333
+MajorAxisLength,0.8
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.8888888888888888
-MajorAxisLength,0.7888888888888889
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.8222222222222222
-MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.8888888888888888
-MajorAxisLength,0.7888888888888889
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.8222222222222222
-MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.7888888888888889
-MajorAxisLength,0.8888888888888888
+MajorAxisLength,0.8333333333333334
+MajorAxisLength,0.9
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.7888888888888889
-MajorAxisLength,0.8888888888888888
+MajorAxisLength,0.8333333333333334
+MajorAxisLength,0.9
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.8888888888888888
-MajorAxisLength,0.7888888888888889
+MajorAxisLength,0.9
+MajorAxisLength,0.8222222222222222
-MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.8888888888888888
-MajorAxisLength,0.7888888888888889
+MajorAxisLength,0.9
+MajorAxisLength,0.8222222222222222
-MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.9
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.7888888888888889
-MajorAxisLength,0.8888888888888888
+MajorAxisLength,0.8333333333333334
+MajorAxisLength,0.9
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MajorAxisLength,0.7888888888888889
-MajorAxisLength,0.8888888888888888
+MajorAxisLength,0.8333333333333334
+MajorAxisLength,0.9
-MajorAxisLength,0.9222222222222223
-MajorAxisLength,0.9222222222222223
+MajorAxisLength,0.9111111111111111
+MajorAxisLength,0.9111111111111111
-MinorAxisLength,0.5
-MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.6777777777777778
+MinorAxisLength,0.7222222222222222
+MinorAxisLength,0.9
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9
-MinorAxisLength,0.7666666666666667
-MinorAxisLength,0.5
-MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.6777777777777778
+MinorAxisLength,0.8333333333333334
+MinorAxisLength,0.9
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9
-MinorAxisLength,0.5
-MinorAxisLength,0.5
-MinorAxisLength,0.7333333333333333
-MinorAxisLength,0.8
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.5
-MinorAxisLength,0.5
-MinorAxisLength,0.7333333333333333
-MinorAxisLength,0.8
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.4888888888888889
-MinorAxisLength,0.5
-MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.6777777777777778
+MinorAxisLength,0.7333333333333333
+MinorAxisLength,0.9
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9
-MinorAxisLength,0.7777777777777778
-MinorAxisLength,0.5
-MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.6777777777777778
+MinorAxisLength,0.8333333333333334
+MinorAxisLength,0.9
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9
-MinorAxisLength,0.5
-MinorAxisLength,0.5
-MinorAxisLength,0.7333333333333333
-MinorAxisLength,0.8
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.5
-MinorAxisLength,0.5
-MinorAxisLength,0.7333333333333333
-MinorAxisLength,0.8
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
+MinorAxisLength,0.9222222222222223
+MinorAxisLength,0.9111111111111111
-MinorAxisLength,0.8888888888888888
